epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.151,1.89608,3.47782,1.29488,0,0,0,0,0,0,0,0.000474924,0.000474924,0.000474924
2,889.602,1.73879,1.62291,1.27638,0,0,0,0,0,0,0,0.000857083,0.000857083,0.000857083
3,1377.63,1.69423,1.33473,1.26693,0,0,0,0,0,0,0,0.00114493,0.00114493,0.00114493
4,1866.51,1.65247,1.23145,1.25015,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
5,2377.12,1.60859,1.13275,1.22198,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
6,2899.29,1.55685,1.05978,1.18917,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
7,3446.73,1.51924,1.00659,1.16595,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
8,4053.53,1.47425,0.96436,1.14049,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
9,4676.48,1.42712,0.8951,1.12378,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
10,5413.39,1.39339,0.86037,1.10461,0.88838,0.42383,0.46191,0.28456,1.31414,1.18639,1.0597,0.000155761,0.000155761,0.000155761
